weapon_name,name,type,is_altered,armor,melee_atk,shot_atk,melee_def,shot_def,beam_res,phys_res,word_tag_1,word_tag_2,ex_skill_name,ex_skill_type,ex_skill_pierce,ex_skill_power,ex_skill_magazine,ex_skill_cooldown,ex_skill_initial_cooldown,trait_1_type,trait_1_description,trait_2_type,trait_2_description,source,category,large_scale
GN Hand Missile [Astraea Type F],Gundam Astraea Type F,P,No,2893,0,5861,0,0,1037,1485,High Mobility,Gundam Type,-,-,-,-,-,-,-,EX Skill Cooldown Reduction,With Power attribute(self) EX Skill CD reduced 20%,-,-,Standard,Bazooka,No
GN Launcher [Astraea Type F],Gundam Astraea Type F,P,No,2893,0,5861,0,0,1037,1485,High Mobility,Protag.,-,-,-,-,-,-,-,EX Skill Power,After 20s pass EX Skill power boosted 30%,-,-,Standard,Bazooka,No
GN Revolver Bazooka,Gundam Gp-Rase-Two Ten,S,No,1968,0,9796,0,0,1031,1031,High Firepower,For Computers,-,-,-,-,-,-,-,EX Skill Power,While "For Computers" EX Skill power boosted 30%,-,-,Standard,Bazooka,No
Variable Psyco Rifle [Exvs 10th Anniv. Color],Extreme Gundam Eclipse F [Exvs 10th Anniv. Color],T,No,967,0,9893,0,0,533,1050,High Firepower,For Computers,-,-,-,-,-,-,-,Job Gauge,When Armor is 60% or more Job Gauge increase boosted 17%,-,-,Standard,Twin Rifle,No
Amazing Pistol,Kampfer Amazing,T,No,1178,0,9045,1993,0,725,725,High Mobility,For Urban Area,-,-,-,-,-,-,-,Shooting DMG Output,With Technique attribute(self) Shooting DMG output boosted by 35,-,-,Standard,Twin Rifle,No
GN Beam Pistol II,Cherudim Gundam,S,No,2152,0,10222,0,0,1495,1043,Mid-Range,Gundam Type,-,-,-,-,-,-,-,Enemy Shooting Power Reduction,Long-Shooter Job Enemy Shooting power reduced 30%,-,-,Standard,Twin Rifle,No
Altered High-Energy Beam Rifle [SFreedom],Altered Strike Freedom Gundam,S,Yes,1924,0,11432,0,1924,746,1850,Ace Excl.,Gundam Type,-,-,-,-,-,-,-,EX Skill Power,With Speed attribute(self) EX Skill power boosted 30%,Shooting Power,Long-Shooter Job Shooting power boosted 35%,Limited,Twin Rifle,No
Altered High-Energy Beam Rifle [IJustice],Altered Infinity Justice Gundam,T,Yes,3471,934,10469,0,0,0,2633,Close Combat,Gundam Type,-,-,-,-,-,-,-,EX Skill Power,With Technique attribute(self) EX Skill power boosted 30%,EX Skill Power,Back Parts's EX Skill power boosted 35%,Limited,Rifle,No
High-Energy Beam Rifle [SFreedom],Strike Freedom Gundam,S,No,955,0,10033,0,1559,710,1850,Ace Excl.,Gundam Type,-,-,-,-,-,-,-,EX Skill Power,With Speed attribute(self) EX Skill power boosted 30%,-,-,Limited,Twin Rifle,No
Altered Double Beam Rifle,Altered ZZ Gundam,S,Yes,3009,0,11479,0,2337,490,1299,High Firepower,Ace Excl.,-,-,-,-,-,-,-,Shooting Power,While "Ace Excl." Shooting power boosted 30%,Shooting Power,While "High Firepower" Shooting power boosted 35%,Exchange,Rifle,No
Altered Beam Rifle [Gundam],Altered Gundam,T,Yes,2870,0,9078,0,0,1128,1128,Protag.,Mid-Range,Last Shooting,Beam Shot,D,S,-,79s,20s,-,-,-,-,Standard,Rifle,No
Altered Hyper Bazooka [Gundam],Altered Gundam,T,Yes,2870,0,9078,0,0,1128,1128,Protag.,Mid-Range,-,-,-,-,-,-,-,Shooting DMG Output,With Technique attribute(self) Shooting DMG output boosted by 35,Enemy Shooting Power Reduction,When Melee ATK is over 10000 Enemy Shooting power reduced 30%,Standard,Bazooka,No
Altered Beam Machine Gun [Geara Doga],Altered Geara Doga,T,Yes,2553,0,5026,0,0,1145,834,Mass P.,Zaku Type,Panic Maker,Beam Shot,A,B-,-,21s,3s,-,-,-,-,Standard,Machine Gun,No
Altered Big Beam Bazooka,Altered Veetwo Gundam,T,Yes,1356,0,10567,2363,0,1438,993,Ace Excl.,For Computers,Big Beam Bazooka,Beam Shot,A,B,-,60s,15s,-,-,-,-,Limited,Bazooka,No
Altered Smoothbore Cannon,Altered Gundam Barbatos,T,Yes,2840,0,7719,0,3486,1501,573,Gundam Type,For Desert,-,-,-,-,-,-,-,EX Skill Power,In-Fighter Job EX Skill power boosted 30%,Melee CRIT Rate,With Technique attribute(self) Melee CRIT rate boosted 40%,Standard,Long Rifle,Yes
Beam Gatling Gun [EW],Gundam Heavyarms [EW],S,No,967,0,9910,0,0,725,725,Long-Range,Heavy Armor,-,-,-,-,-,-,-,Initial EX Skill Charge,While "Heavy Armor" Initial EX Skill charge boosted 20%,-,-,Standard,Gatling Gun,No
-,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
